name,region,variety,rating,notes
Domaine Raymond Usseglio Chateauneuf-du-Pape Cuvee Imperiale 2016,"Chateauneuf-du-Pape, Rhone, France",Red Wine,95.0,"The Imperiale wine is from our older vines, mostly centennial planted in 1901-1902. The yields are extremely low guaranteeing a dense and deep wine. The old vines of Grenache are elegant in this vintage and capable of aging dozens of years. "
Jean-Maurice Raffault Les Galuches Chinon 2005,"Chinon, Touraine, Loire, France",Red Wine,88.0,"""From alluvial and gravel soils (in this case right along the Loire, whereas most of Chinon's better-known vineyards front on the Vienne) and aged eight months in used barrels, the 2005 Chinon Les Galuches leads with an aromatic melange of ripe plum, beef broth, iodine, and cherry-almond. Juicy, bright, and faintly saline on the palate, and with a satisfying persistence of ripe though faintly tart plum and cherry fruit, it finishes with refinement if not quite the infectious juiciness of Raffault's basic bottling."" - Wine Advocate"
Jules Taylor OTQ Sauvignon Blanc 2018,"Marlborough, New Zealand",White Wine,91.0,"This wine is pale green-gold in color. Attractive aromas of pineapple and guava, combined with citrus and lemongrass overlay delicate nut and spice notes. Revealing the softer side of its Sauvignon Blanc heritage on the palate, this wine offers a delicious combination of mandarin and guava, beautifully laced with notes of brazil nut and honey from the wild ferment. The wine finishes with lingering lemon notes."
Laurent Cognard Les Bassets Montagny Premier Cru 2011,"Montagny, Cote Chalonnaise, Burgundy, France",White Wine,90.0,"Montagny 1er Cru Les Bassets has a citrus fruit driven bouquet with fine flesh and midplate punch leading to a soft, fruity finish. "
Gamble Family Vineyards Paramount Proprietary Red 2014,"Napa Valley, California",Red Wine,91.0,"Your interaction with Paramount begins before your lips ever touch the glass. Aromas of sun-warmed black cherry, fig, and melted cocoa nibs waft from the glass. At the edge of your sensory memory, you discover hints of coriander, violets, and marzipan. A touch of smoke and cedar, perhaps a cigar box. You’re reminded of mint and holiday spices."
Cobb Wines Jack Hill Vineyard Pinot Noir 2013,"Sonoma Coast, Sonoma County, California",Red Wine,90.0,"First impression is of cherry and red, fuji apple. Once you have arrived, you’ll find more savory hints of shiitake mushroom, Asian five spice, and forest floor.. This is one of those lovely Pinot Noirs that you can experience through its aromas. On the palate, fine, delicate tannins meld with a crisp cranberry and grapefruit tartness, and subtle elements of lavender, pine, and truffle."
Ken Wright Cellars Freedom Hill Vineyard Pinot Noir 2015,"Eola-Amity Hills, Willamette Valley, Oregon",Red Wine,92.0,"The wines from the Freedom Hill Vineyard site are the firmest and most structured that Ken Wright Cellars works with. This Pinot is expected to have great longevity, vintage after vintage."
Frescobaldi Castelgiocondo Brunello di Montalcino 2003,"Montalcino, Tuscany, Italy",Red Wine,90.0,"Ruby red, edged with a lively garnet, Castelgiocondo develops a warm, powerful nose releasing generous impressions of dried plum, plum jam, and blackcurrant, then tar and pungent eucalyptus and laurel. A sturdy, alcoholically warm palate displays just the right charge of tannins, and finishes very long."
Ladera Sauvignon Blanc 2015,"Napa Valley, California",White Wine,92.0,"The 2015 Ladera Sauvignon Blanc reveals a unique tropical influence, highlighted by intense floral and citrus aromas. The flavorful palate is packed with ripe tropical fruits, juicy texture and lively acidity that carry through to the refreshing finish."
Blankiet Rive Droite Paradise Hills 2012,"Yountville, Napa Valley, California",Red Wine,99.0,Bordeaux Right Bank style wine. Merlot with a touch of Cabernet Franc. This wine is gorgeously fruit forward with a core of minerality.
Chateau de Montfaucon Cotes du Rhone Baron Louis 2006,"Cotes du Rhone, Rhone, France",Red Wine,90.0,"Still muscular, with blackberry and black currant fruit, black tea, graphite and espresso notes that all meld together nicely on the lengthy finish. Grenache, Cinsault, Syrah, Carignan, Counoise & Mourvèdre."
Arietta H Block Hudson Vineyard Red 2001,"Napa Valley, California",Red Wine,87.0,"Combines restrained flavors of smoke, herb, berry and dusty cherry. Lean and trim. Perhaps time in the bottle will work in its favor. Merlot and Cabernet Franc. Drink now through 2008. 800 cases made. (JL) "
Cakebread Sauvignon Blanc 2002,"Napa Valley, California",White Wine,87.0,"Our Sauvignon Blanc has an attractive light golden glint of color. Inviting citrus-like scents follow, reminiscent of freshly sliced limes and lemons, with a richer fragrance closer to that of sliced peaches, as well as a very slight fragrance of oak in the background. The wines impressions on the palate are very full and rich, but with an attractive mineral-like dryness throughout."
Gaja Sperss 1995,"Piedmont, Italy",Red Wine,94.0,"Power and charm combine in this exotic, black-colored, beautifully perfumed, balanced Barolo. Sure, it's a barrique  – boosted Nebbiolo, but look at the exquisite result: sweet tannins, full body, exciting violet, blackberry, mint, smoke and tar notes, and a rock-solid but harmonious finish. Best from 2003 through 2010."
d'Arenberg The Stump Jump Red 2001,"McLaren Vale, South Australia, Australia",Red Wine,87.0,"Since 1912 the Osborn family have tended the 19th century vineyards at their d'Arenberg Winery located in McLaren Vale, South Australia. The Osborns are proud to release The Stump Jump range of premium McLaren Vale wines, so named as the land for many of the region's old vineyards was originally cleared using the Stump Jump plough. This South Australian invention enabled the ploughshare to jump over the gnarled ""mallee"" Eucalypt roots, saving valuable time and resources.The Stump Jump red from the 1999 vintage is based on the Grenache (85%) and Shiraz (15%) grape varieties. Originating in the Rhone Valley of France, Grenache and Shiraz are the backbone varieties of the McLaren Vale region.Once picked, the fruit is gently crushed in our ""Demoisy"" open mouthed, rubber toothed crusher and pumped into traditional headed down open fermenters. Following fermentation, The Stump Jump Grenache Shiraz is gently pressed by our 19th Century ""Coq"" and ""Bromley & Tregoning"" basket presses prior to oak maturation.This is a rich, soft and flavorsome red in the traditional McLaren Vale style. Mulberry and plum flavors from the Grenache combine with the blackberry, spice and white pepper of the Shiraz. Best server at room temperature, this wine will gain added complexity with careful cellaring over the next 2-5 years."
Anam Cara Late Harvest Gewurztraminer (375ML half-bottle) 2013,"Chehalem Mountains, Willamette Valley, Oregon",Boutique,92.0,"From only one acre of Gewürztraminer vines planted on the steepest slope of their vineyard, this dessert wine has opulent aromas of apricot, white flowers and bosc pears which join warm juicy peaches and tropical fruits on the palate."
Justin Isosceles 2015,"Paso Robles, Central Coast, California",Red Wine,91.0,"Dark ruby purple core with a black hue, lighter at the rim and more ruby in color. Moderate plus viscosity with moderate tearing and light staining on the glass. Very aromatic, complex and layered with vibrant red cherry, ripe black cherry and blackcurrant fruit, vanilla and cinnamon spice, with camphor and licorice, savory cigar box notes and an attractive, youthful toasted oak underpinning. Dry and full-bodied, layered with red and black cherry, cassis and complex baking spice on the entry. Sweet tobacco and classic savory pencil-like notes of cedar and graphite with a little cocoa emerge on the crisp mid-palate with firm chewy tannins lasting into a long, complex finish that shows a parade of fruit and spice balanced with constantly evolving textures and savory notes. "
Domaine Ollier Taillefer Grande Reserve 2015,"Faugeres, Languedoc, South of France, France",Red Wine,90.0,"There's neither oak nor brett in the Grande Reserve. Nary a splinter nor a cell. Aged on its fine lees during a nicely relaxed elevage, in this wine you have the potpourri of Faugere's aromatics—its black olives, thyme, sage, sea salt, and on the palate the sense of licking black stone. This is what Languedoc and Languedoc alone can do so well. "
Kim Crawford Tietjen Gisborne Chardonnay 2000,"Gisborne, New Zealand",White Wine,91.0,Color:  Pale straw with green and gold edges.
Beringer Chabot Vineyard Cabernet Sauvignon 1992,"St. Helena, Napa Valley, California",Red Wine,93.0,"""One of the hardest wines to find among Beringer's superstars is their Chabot Vineyard (from the Napa Valley) Cabernet Sauvignon. The production of approximately 300 cases is aged in 100% new oak and is made from frightfully small yields. The 1992 may merit a perfect score in time. It is as spectacular and riveting a Cabernet as I have ever tasted from California. Its seamless personality offers extraordinarily rich, black fruit scents intertwined with aromas of spices, flowers, herbs, licorice, and chocolate. The wine fills the mouth but never tastes heavy or overdone, rather amazing given its intensity. This superbly rendered, potentially legendary Cabernet Sauvignon is sure to have Cabernet enthusiasts scrambling over the tiny quantities that will be released in a year or so."" - Robert Parker "
Carro Barahonda Monastrell 2005,Spain,Red Wine,90.0,"Barahonda Tinto is an intense red ruby colored wine with notes of very matured fruit. Good structured, medium bodied, with a long aftertaste.  "
Chateau Doisy Daene (375ML half-bottle) 2011,"Barsac, Bordeaux, France",,93.0,"The wine of Doisy-Daene has a particular style, emphasizing the brightness of concentrated by the ""noble rot"" fruit, nervousness, and the delicate balance of flavors. This style is both the expression of a large limestone soil and a family aesthetic tradition, the racy white wines, with a purity of diamond, combining power and freshness."
Frog's Leap Zinfandel 2016,"Napa Valley, California",Red Wine,92.0,A Zinfandel that draws its power from sophistication instead of raw alcohol content. Made in the classic field blend style including significant portions of Petite sirah and Carignane. 
Jean-Claude Bessin Chablis 2000,"Burgundy, France",White Wine,89.0,"Jean-Claude Bessin and his wife own and operate this estate in the Chablis region of Burgundy/France. Their Chardonnay is grown in four different vineyard locations (see below). Production averages 550 - 600 hectoliters (5,000 - 6,000 cases). "
Alban Seymour's Vineyard Syrah 2003,"Central Coast, California",Red Wine,95.0,"Atop the most distant peak from Alban's winery and main vineyard there is a dense vein of flint that is mixed with chalk and sandstone. This soil produces the grapes that make Seymour’s aromatics of Asian spices, and flavors of smoked meats, graphite, and licorice. This Syrah is their most structured and broad. "
Beaux Freres The Upper Terrace Pinot Noir 2003,"Ribbon Ridge, Willamette Valley, Oregon",Red Wine,94.0,"The 2003 Upper Terrace is our second vintage from these slopes and it is again the biggest, riches and most muscular of our wines.  It is close in quality to the full-bodied, rich 2002.  Notes of sweet plums, raspberries, cherries and a hint of sassafras along with some darker fruits and something primordial and earthy emerge from this juicy Pinot.  With exceptional concentration, tremendous purity, density, structure and moderate tannin, we believe that this wine will keep for 12-15 years in a cool cellar."
Di Majo Norante Riserva Ramitello Rosso 1999,Italy,Red Wine,89.0,"Intense ruby red in color with violet reflections.  The scent of plums comes through on the nose.  Full-bodied and velvety with balanced flavors of plum and woodberries.  Hints of licorice in the persistent finish.  Excellent with richly flavored dishes, particularly meats, game and aged cheeses."
Bisol Crede Prosecco Superiore 2015,"Valdobbiadene, Prosecco, Italy",Sparkling & Champagne,90.0,"""Crede"" is a dialect word for clay, which is a defining feature of the terrain in Valdobbiadene in which the grapes for this Prosecco Superiore are cultivated."
Castiglion del Bosco Rosso di Montalcino 2013,"Montalcino, Tuscany, Italy",Red Wine,89.0,"A ruby red hue and delicate bouquet announce a remarkably luscious wine, well balanced and firmly structured, with a long-lingering finish. Its unique versatility makes it suitable for everyday drinking."
Durigutti Malbec Clasico 2011,Argentina,Red Wine,88.0,"Lush nose laced with black-berry and plum fruit. Soft yet focused on the palate, with additional flavors of strawberry and wild herbs. Medium tannins and balanced acidity. "
Jorge Ordonez Number 4 Esencia (375ML half-bottle) 2004,Spain,Boutique,99.0,"Esencia is a unique wine that incorporates the raisined muscat grape.  After 24 months in barrel, we achieve a partial fermentation of the must.  Alois Kracher, through this wine, sought to convey the essence of the village of Almáchar, in the heart of the Axarquía, famous from time immemorial for its delicious muscat grapes and raisins.  "
Benovia La Pommeraie Pinot Noir 2013,"Russian River, Sonoma County, California",Red Wine,90.0,"This extraordinary single vineyard Pinot Noir gives an immediate impression of depth and concentration in the glass, with remarkably explosive aromas of boysenberry and vine ripened black raspberry. The palate is viscous and rich, yet light on its feet, with fine-polished tannins and an exceptionally balanced acidity. Although delicious upon release, we expect this wine to improve with cellaring for 6-8 years from vintage date. "
Ceretto Monsordo Rosso 2015,"Piedmont, Italy",Red Wine,91.0,"Deep ruby red in color with garnet highlights, this red blend has aromas of dark berry fruits and black plums complemented by undertones of sweet spices and vanilla.  On the palate, the structure is enhanced by finely-grained tannins to make a rich, full-bodied wine. "
Bruno Giacosa Barolo 2001,"Barolo, Piedmont, Italy",Red Wine,92.0,"""The dense, brooding 2001 Barolo offers sensations of spices, minerals and underbrush on the nose followed by plenty of dark fruit on a muscular frame of great length and harmony. The wine shut down quickly in the glass, and appears headed for a period of dormancy, after which it will no doubt offer tremendous drinking pleasure. A Casa Vinicola Bruno Giacosa bottling. Anticipated maturity: 2011-2021."""
Frog's Leap Merlot (1.5 Liter Magnum) 2013,"Rutherford, Napa Valley, California",Red Wine,90.0,"The depth of the ripe plum aromas is astounding, the weight on the palate perfect and the flavors go on and on. We were surprised somewhat in our blending trials when we consistently preferred this wine with a small portion of Cabernet sauvignon and a dollop of Cabernet franc blended in. The added structure promises complete integrity for aging well into the future. If you are opening it in its first five years of life, It is recommended to decant an hour or more and serving it with a dish slightly sweeter in its preparation. Try pairing with Duck a l'Orange."
Belle Glos Clark and Telephone Vineyard Pinot Noir 2002,"Santa Maria Valley, Central Coast, California",Red Wine,95.0,"""This is spectacular Pinot, which defines its South Coast terroir, is a great wine. The extracted fruit is massive, flooding the palate with cherries and raspberries, and the wine is well-oaked. Yet it combines its power with regal grace, which is what Pinot is supposed to do. Finishes with a silky, velvety harmony. Really an eye-opening wine, superb in every respect."""
Dal Forno Romano Valpolicella Superiore 2008,"Valpolicella, Veneto, Italy",Red Wine,92.0,"Valpolicella offers hints of blueberry, blackberry, cherry and chocolate which emerge gradually as the wine breathes. The potent tannins, which give structure to this product, are in perfect symbiosis with the velvety aromas of sweet spices and jam which envelop the palate and excite the senses. "
Cayuse Camaspelo 2008,"Walla Walla Valley, Columbia Valley, Washington",Red Wine,95.0,Blend: 80% Cabernet Franc and 20% Merlot
Far Niente Cabernet Sauvignon 2005,"Oakville, Napa Valley, California",Red Wine,96.0,"Notes of dense black fruit, anise and blackberries appear up front followed by hints of fruit jam and dark chocolate. In the mouth, this wine unfolds in layers, beginning with a round and supple entry and progressing to a full, weighty structure on the palate. The silky tannins are textured and coating, producing a wine that is smooth from start to finish."
Alexander Valley Vineyards Redemption Zin 2009,California,Red Wine,90.0,"In the glass there are aromas of blackberry, dark cherry, plum, chocolate, spice, black pepper and vanilla. There is mouth filling texture with spicy flavors of blueberry, black pepper, dark fruits and a long finish. Winemaker Kevin Hall notes that ""this is a big wine.""  "
Delas Saint-Joseph Sainte-Epine (1.5 Liter Magnum) 2013,"Saint-Joseph, Rhone, France",Red Wine,94.0,"The wine has a deep ruby color with purple tinges. Its nose shows aromas of blackberries and spices, lifted by some mineral and gently wooded notes. Well concentrated, this has pure flavors that come to the palate in successive layers of varying aromas, all of equal intensity."
Drew Gatekeepers Pinot Noir 2013,"Anderson Valley, Mendocino, California",Red Wine,91.0,"Bright red color. The nose has subtle aromas of freshly cut rose stems, cinnamon, vibrant red fruits, forest fungi, spice and mineral notes.  This is a medium weight Pinot Noir with lifted red fruit, forest mushrooms, and red floral notes on the palate with subtle notes of cigar box and river stone minerality. "
Girard Sauvignon Blanc 2012,"Napa Valley, California",White Wine,90.0,"Our 2012 Girard Sauvignon Blanc showcases aromas of lime peel, lemon meringue and grapefruit. On the palate notes of papaya, mango, pineapple and citrus accent the bright acidity."
Adega Eidos Eidos de Padrinan Albarino 2007,"Rias Baixas, Spain",White Wine,90.0,"""Eidos"" are the backyard garden arbors constituting the traditional Albariño vineyard. Selected grapes from vines over 50 years are destemmed, crushed and macerated under temperature control for maximum aromatic extraction. Natural yeasts are encouraged for a prolonged fermentation, the wine bottled beginning in April following the vintage following extended contact with the fine lees. The great 2007 vintage produced a reduced quantity of richly textured and exotically intense Albariño, the salty sea breeze and granitic levels evident in a mouthwateringly mineral finish."
Laetitia Les Galets Pinot Noir 2007,"Central Coast, California",Red Wine,93.0,"The rocks, indeed, segue perfectly in describing this wine.  The nose displays minerality of chalk and wet limestone, with prevalent dark berry aromas and dries black cherry.  The palate shows flavors of tobacco and cola spice, with structure of lingering velvet and finishing with a gorgeous floral flavor.  This wine is complex as the ancient soils from which it is grown; savor with rich dishes, this wine can handle it!"
Beaulieu Vineyard Georges de Latour Private Reserve 2013,"Napa Valley, California",Red Wine,90.0,"The superb 2013 vintage gave the 2013 Georges de Latour Private Reserve Cabernet Sauvignon its unctuous fruit character and dense structure. Hugely complex, the wine reveals a broad spectrum of briary blackberry, black cherry and currant notes, with nuances of violet and bittersweet chocolate. Muscular tannins support the plush, expansive palate, while impeccably balanced acidity adds vibrancy. Integrated caramel and toasted oak spices, from aging in new French oak barrels, heighten the aromas and linger on the finish. "
Falesco Marciliano 2003,Italy,Red Wine,93.0,"Made from 70% Cabernet Sauvignon and 30% Cabernet Franc grown in estate vineyards in Umbria. Marciliano has a profound dark purple color and exhibits complex aromas of tobacco and slate. This wine is a great representation of Cabernet when all of nature's forces are working together. Layers of fruit are evident on the nose and on the palate, while the tannins are expressive without being too aggressive.  "
Chateau Pape Clement Blanc 2010,"Pessac-Leognan, Bordeaux, France",White Wine,93.0,"Fairly deep gold, with green-gold hints. Attractive intensity, depth and luster. Expressive and intense. There are notes of citrus fruits, apple, floral aromas, honeysuckle and acacia. The woody notes are perceptible but discrete: aromas of oak and pine, notes of vanilla, spices and toast. Forthright, round and full-bodied. The finish reveals the mineral qualities of the soil, well-rounded tannins and freshness."
Carlisle The Derivative White 2012,"Sonoma County, California",White Wine,95.0,We continue to decrease the new oak in this wine. The Muscadelle was fermented in all stainless steel. The Palomino was fermented in 75% stainless steel and 25% new oak. The Semillon was fermented in all oak but only 22% new. Malolactic fermentation was prevented to preserve acidity and freshness.
Chateau d'Yquem Sauternes (375ML half-bottle) 1988,"Sauternes, Bordeaux, France",Collectible,96.0,"Spring was warm, but very wet, with late flowering. However, the tide turned in July when beautiful weather set in. The harvest began late, in mid-October, and stretched until All Saints' Day. The grapes developed evenly during this time and were able to take their time to reach complete maturity. There were six passes altogether, each of excellent quality. '88 Yqeum is very full and classic."
Feudi di San Gregorio Falanghina 2006,Italy,White Wine,90.0,"""Vibrant acidity supports this wine's rich flavors of melon and white peach. With a little air, an exotic spice character (white pepper? dried sage?) emerges to balance the juicy plumpness of falanghina. It finishes savory. Ready to serve with prosciutto."""
Jones Family Vineyards Cabernet Sauvignon 1998,"Napa Valley, California",Red Wine,92.0,"This wine is red-ruby in color. It has nicely developed ripe fruit aromas of blackberry and cherry with a hint of red licorice. In the mouth, it again shows ripeness as well as good length. The flavors are consistent with the aromas. Moderate oak level adds to the complexity without overpowering the fruit. It has some spiciness and sweet toasty oak in the mouth. Ripe Cabernet flavor is persistent and lasts several minutes. The balance of all the flavor components is quite good. An exciting wine from a challenging vintage."
Domaine La Barroche Chateauneuf-du-Pape Pure 2011,"Chateauneuf-du-Pape, Rhone, France",Red Wine,95.0,"Imagine a corner of land filled with century-old vines and the purest, sandy soil... The resulting wine represents a strikinghomage to Châteauneuf-du-Pape and its most celebrated grape varietal, the Grenache. It embodies delicacy, an escape, a synthesis of subtle flavors: strawberries, cherries, liquoricewith a hint of spices. It signifies the perfect balance betweenkindness and strength. "
Conterno Fantino Barolo Sori Ginestra 2012,"Barolo, Piedmont, Italy",Red Wine,90.0,"Deep garnet with ruby hues, with a rich, fruity and persistent bouquet of rose petals, brushwood and berries this wine is full bodied, luscious, and austere on the palate. "
Chateau La Tour Carnet 2006,"Haut Medoc, Bordeaux, France",Red Wine,90.0,"The uniqueness of the terroir of Saint-Laurent-du-Medoc lies in its diversity. It is a mosaic of sandy-gravelly and gravelly slopes on which are located the best vineyards, including La Tour Carnet.  Soil structure presents a great similarity with that of neighboring appellations of Pauillac and Saint-Julien. "
Allan Scott Marlborough Chardonnay 1999,"Marlborough, New Zealand",White Wine,88.0,"True to our reputation, the 1999 is another stunning Chardonnay in a similar style to the 1998. Rich ripe fruit flavours are complemented with malolactic fermentation. The wine shows all the elegance and finesse that is typical of our style of winemaking. While approachable now, the 1999 will develop and mature gracefully in the bottle to faithfully deliver for many years to come. The grapes were picked exclusively from our closely controlled vineyards around the winery and batch fermented in our climate controlled cellars. Each batch undergoes rigorous evaluation before being allowed to be part of the prestigious Allan Scott Chardonnay label."
Artesa Carneros Chardonnay 2014,"Carneros, California",White Wine,89.0,"The Carneros Chardonnay is first and foremost about aromatics, and the techniques used are designed to retain the signature Carneros aromas of lemon-citrus and white blossom while accentuating the minerality and vivid, fresh fruit flavors of citrus and stone fruits in the wine. Partial barrel fermentation, malolactic and lees stirring create complex layers, imparting hints of oak and wrapping the flavors in a rich, generously textured mouthfeel and elegant finish."
Feudo Maccari Saia 2007,"Sicily, Italy",Red Wine,90.0,"Saia is opaque deep violet in color with aromas of dark and bitter red cherry, spearmint, spice and oak nuances. These lead into a velvety palate of lush, exotically concentrated fruit balanced by a fine acidic underpinning and ripe, sweet tannins. The long, penetrating finish ends on notes of wood, spice and pepper."
Domaine Henri Gouges Nuits-St-Georges Les Chenes Carteaux 2006,"Burgundy, France",Red Wine,91.0,"This plot, with an area of two and a half acres is located South of Vaucrains and above the renowned Sain Georges. The steep slope, which ranges from 850 to 1000 feet above sea level, is composed of yellowish brown, light and sandy soils. The fruit produced here delivers fine wines that have the capacity to open with greater ease than its neighbors."
Force Majeure Syrah 2013,"Red Mountain, Yakima Valley, Columbia Valley, Washington",Red Wine,92.0,"The Force Majeure estate Syrah is cultivated in a combination of the 8 soil types that exist in our vineyard, with most of it being planted in very steep, very rocky locations, but some also planted in deeper, loamier soils. The estate Syrah typically exhibits a broad spectrum of black, blue and red fruits, dried herbs and jasmine, fennel, smoked meats and crushed rock along with very fine tannins, great length, balance and complexity."
Duckhorn Napa Valley Cabernet Sauvignon 2008,"Napa Valley, California",Red Wine,93.0,"The aromas offer intense layers of dark briar fruit complemented by creamy mocha, clove, vanilla and a hint of Chinese allspice. The flavors fill the palate with layers of Bing cherry, plum, cranberry, cola and cedar, as well as more woodsy elements. The oak is elegantly integrated, and creamy tannins frame the wine's rich, fruit finish."
Clos Saint-Jean Deus Ex Machina Chateauneuf-du-Pape (1.5 Liter Magnum) 2012,"Chateauneuf-du-Pape, Rhone, France",Red Wine,96.0,"""God from the machine"" which is the literal translation of the Latin expression ""Deus Ex Machina"". In other words, divine intervention which radically modified the course of things. In the universe of theatre, ""Deus Ex Machina"" translates into an unexpected turn of events thanks to an external event that nothing foreshadowed. At Clos Saint-Jean, the name of this cuvee symbolizes the unexpected changing of course that has been enacted at Clos Saint-Jean since 2003. "
Knights Bridge Estate Sauvignon Blanc 2018,"Knights Valley, Sonoma County, California",White Wine,90.0,"This Sauvignon Blanc jumps out of the glass, with pineapple, passion fruit, grapefruit, and lychee all very prominent on the nose. The palate offers more lush fruit and bright acidity with notes of creamy lemon tart, guava, and apricot with a fresh, clean finish. It's perfect as an aperitif or pair with lighter fare such as seafood, creamy cheeses or salads. "
Hall Ellie's Cabernet Sauvignon 2011,"Napa Valley, California",Red Wine,90.0,"This wine is named for Craig Hall's mother, Eleanor ""Ellie"" Hall, who was an artist and a teacher. She inspired Craig's love of art and it is her artwork that graces this wine's label. "
Lea Wines Sta. Rita Hills Pinot Noir 2014,"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,92.0,"Buona Terra contributes red fruits and fresh acidity while the Turner delivers darker, stone fruit notes and a streak of exotic spice and pepper. Mormann rounds out the blend with a silky texture, long finish and juicy red raspberry and pomegranate. Very food friendly and pairs well with everything, from delicate shellfish dishes to grilled steak."
Beringer Nightingale Semillon-Sauvignon Blanc (375ML) 2003,"Napa Valley, California",Collectible,97.0,"This very special wine offers a golden hue and features aromas of apricot preserve, creme brulee and honey. Rich flavors of butterscotch, stone fruit and spice coat the mouth and linger for a long, luxurious finish. Whether paired with a cheese course or rich dessert, Nightingale is a wonderful way to end a meal."
Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee 2013,"Chateauneuf-du-Pape, Rhone, France",Red Wine,90.0,"Dark red with a purple body. On the nose, there are aromas of ripe black fruits, like morello cherries and raspberries, juniper berries, black pepper and garrique. After several years of ageing, the aromas will be characterized by plums, dried stone fruits, leather, fur, and sandalwood. The mouthfeel is round, rich and powerful with soft tannins. With time, it will involve into a more complex and spicy wine. "
Jose Maria Da Fonseca Douro 2004,Portugal,Red Wine,91.0,: Dark ruby red.
Frescobaldi Castelgiocondo Brunello di Montalcino 1997,"Montalcino, Tuscany, Italy",Red Wine,96.0,"CastelGiocondo Brunello di Montalcino presents a clear ruby red with garnet highlights. Pronounced notes of blackberry elegantly accompanied by floral notes such as violet. The nose is complex and well-blended: spicy notes of black pepper and clove, tobacco and leather, and ""jus de viande"" reflect well the evolution of the wine. Resonating tannin textures, mellow structure with a long and elegant finish."
JCB No. 81 Chardonnay 2011,"Sonoma Coast, Sonoma County, California",White Wine,90.0,"For Jean-Charles Boisset, the lemon/tropical aromas of thisChardonnay are especially ALLURING, calling the taster backover and over again. The lush, créme-brulée like texture isrich, yet the wine has an elegance that makes it quiteEPHEMERAL. Finally, the long, ripe finish is delicious. It makesyou insanely INSATIABLE."
Langmeil The Blacksmith Cabernet Sauvignon 2010,"Barossa, South Australia, Australia",Red Wine,91.0,"Medium to deep crimson in colour with purple hues. Rich, dark fruits of black currants and black berries dominate the aroma with lifted minty, menthol notes and biscuity hints. Luscious, ripe and juicy berry fruits coat the palate and mingle with brambly spice, hints of black olive and velvety, fine tannins which flow onto the long and fruitful finish."
Bodegas Muga Reserva 2015,"Rioja, Spain",Red Wine,92.0,"A wine with medium-high depth of color -- black-cherry red with garnet hues. First, red-fruit notes appear on the nose, with hints of fennel and scrubby heathland, all nicely balanced by smokey aromas from the time spent in medium-toasted wood. Underlying hints of vanilla come through with coffee notes. On the palate, there is a full mouth-feel with slightly mentholated nuances and white chocolate. The vanilla reappears and the red-berry fruit aromas found on the nose persist, with an elegant acidity which makes the aftertaste long. "
Angela Estate Angela Vineyard Pinot Noir 2013,"Willamette Valley, Oregon",Red Wine,90.0,"The 2013 vintage was an interesting one for the Willamette Valley.  Many vineyards had deluges of rain before harvest. Thankfully, that was not the case with our 2013 offering. The placement of the flagship vineyard, Angela Estate lies within the rain shadow and harvests rather early. Made by legendary winemaker, Ken Wright the wine exhibits all of the beautiful floral and spice elements we typically see from this site; rose petal, hibiscus, root beer and cherry cola, mouth-filling juicy red raspberry and a seamless white pepper finish. 2013 Angela is a little more juicy than the 2012 with delightful, floral and umami aromas. Angela vineyard was planted in 2006 on ancient marine sedimentary soils with Wadenswil, Dijon 777 & 115. "
Chateau de Chantegrive 2009,"Graves, Bordeaux, France",Red Wine,90.0,"Ruby color, seductive and complex bouquet, with notes of toast and dark fruit walls. On the palate it is bold and expressive, supported by silky tannins. "
La Maialina Chianti Classico 2009,"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,89.0,"The 2009 Chianti Classico exudes vibrant aromas of ripe cherries with notes of sweet spices, violets, and licorice with a smooth velvety finish."
Bodegas Raul Perez Sketch Albarino 2011,"Rias Baixas, Spain",White Wine,93.0,"Bright gold. Heady, complex scents of poached pear, lemon pith, white flowers, ginger and minerals. Fleshy and deeply concentrated but dry, offering intense, mineral-driven orchard fruit flavors and sexy floral qualities. Clings with outstanding tenacity on the finish, which leaves vibrant mineral and floral notes behind.  "
Chateau Brane-Cantenac 2012,"Margaux, Bordeaux, France",Red Wine,90.0,"Remarkable intensity on the nose, with rare notes of apricot, pineapple and peach. Hints of white pepper and red fruits reveal themselves on the second nose. The attack is round with very elegant tannins. The wine is wonderfully smooth and velvety in texture, with exceptional length, reinforced by a strong aromatic finish."
Casaloste Chianti Classico Gran Selezione 2015,"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,93.0,"Intense ruby red with garnet reflections. The nose has a well-balanced bouquet of ripe red fruits, such as plum and maraschino cherry, spicy notes of sweet tobacco, licorice and balsamic finish. The palate is elegant, velvety taste, supported by a low acidity. It has still young tannins that denote the possibility of long aging. Wine with a persistent and enveloping finish that tends to a very characteristic bitter chocolate. "
Allegrini La Grola 2005,"Veneto, Italy",Red Wine,90.0,"Deep ruby red in color, La Grola offers a wide, embracing bouquet of wild berries, juniper, licorice, tobacco and espresso. Full-bodied yet silky, with juicy tannins, La Grola is the wine of choice for red meat, either roasted or in casseroles, and mellow, aged cheeses."
Leth Steinagrund Gruner Veltliner 2008,Austria,White Wine,90.0,The nose combines spice with a reductive fruit; the palate displays peppery notes; a classic Veltliner from loess terraces.
